date;coin_pare;open_price;close_price;profit
2022-01-31 17:04:45.787144;XTZUSDT;3.417;3.434;9.950248756219082
2022-01-31 19:52:34.583025;XMRUSDT;141.14;144.01;-39.85834317061321
2022-01-31 20:00:06.716111;KAVAUSDT;3.073;3.135;-39.55342902711312
2022-01-31 23:30:05.570020;SFPUSDT;0.832;0.831;-3.0048076923078204
2022-02-01 15:49:28.776624;CHZUSDT;0.188;0.188;0.0
2022-02-02 14:47:17.631612;AXSUSDT;53.55;53.0;-25.676937441643233
2022-02-02 19:45:13.117652;SUSHIUSDT;4.349;4.249;-57.48447919061872
2022-02-02 19:45:17.402708;EOSUSDT;2.389;2.358;-32.44035161155262
2022-02-02 19:45:20.932087;FILUSDT;21.178;20.646;-62.80101992633874
2022-02-09 19:47:03.077878;WAVESUSDT;11.54;11.623;17.98093587521643
2022-02-09 20:06:56.276151;WAVESUSDT;11.804;11.822;3.812267028125982
2022-02-11 18:17:09.020593;OCEANUSDT;0.64;0.644;15.625000000000222
2022-02-11 18:30:13.248451;EGLDUSDT;198.39;201.57;40.07258430364424
2022-02-11 18:47:04.651084;OGNUSDT;0.44;0.44;0.0
2022-02-11 21:01:37.937900;CHZUSDT;0.233;0.23;-32.18884120171683
2022-02-11 22:12:44.214583;SFPUSDT;0.867;0.871;-11.481056257175714
2022-02-11 22:44:47.034220;BANDUSDT;4.315;4.272;-24.913093858632827
2022-02-11 23:08:45.411422;BANDUSDT;4.183;4.184;-0.5975143403444405
2022-02-12 11:47:12.829159;MATICUSDT;1.653;1.652;1.5133171912834475
2022-02-12 11:47:20.313908;DOTUSDT;18.318;18.433;-15.597027071013736
2022-02-12 11:48:47.013301;EOSUSDT;2.345;2.36;-15.889830508474256
2022-02-12 11:48:59.695959;LINKUSDT;15.665;15.761;-15.227460186536534
2022-02-12 11:49:03.114244;ENJUSDT;1.761;1.772;-15.519187358916664
2022-02-12 11:49:16.293911;FILUSDT;20.433;20.576;-17.37461119751177
2022-02-12 11:51:53.041874;SFPUSDT;0.768;0.773;-16.17076326002581
2022-02-12 11:51:55.778498;TRXUSDT;0.062;0.063;-39.68253968253982
2022-02-12 11:53:39.849619;XMRUSDT;164.4;165.58;-17.81616137214642
2022-02-12 11:53:59.325303;ZILUSDT;0.047;0.048;-52.08333333333343
2022-02-12 12:53:19.229944;KAVAUSDT;3.265;3.292;-20.504252733899996
2022-02-14 22:50:50.956291;SFPUSDT;0.792;0.792;0.0
2022-02-15 15:32:39.744512;C98USDT;1.79;1.79;0.0
2022-02-15 16:09:57.858818;EGLDUSDT;190.87;197.74;89.98271074553365
2022-02-15 19:17:47.089095;CHZUSDT;0.219;0.22;11.415525114155113
2022-02-15 20:19:41.873004;C98USDT;1.828;1.826;-2.73522975929974
2022-02-15 20:20:06.410681;FILUSDT;21.718;21.718;0.0
2022-02-16 00:38:05.524051;WAVESUSDT;10.365;10.414;11.818620356970344
2022-02-16 00:40:09.622588;ZILUSDT;0.051;0.05;-49.01960784313708
2022-02-16 00:56:11.903452;WAVESUSDT;10.424;10.253;-41.01112816577101
2022-02-16 23:26:32.319422;TRBUSDT;23.39;23.61;23.514322359982632
2022-02-17 23:17:13.143202;FILUSDT;21.68;21.03;77.27056585829727
2022-02-17 23:39:23.953297;ONEUSDT;0.177;0.177;0.0
2022-02-17 23:49:36.532344;AXSUSDT;56.47;57.38;-39.6479609620079
2022-02-17 23:51:30.084929;EGLDUSDT;173.5;176.31;-39.84459191197332
2022-02-17 23:53:50.757066;IOTXUSDT;0.087;0.089;-56.179775280899015
